name_tsp,hh_total,hh_male,hh_female,lat,lon
Myitkyina,52591,36101,16490,25.38749,97.39036
Waingmaw,22860,16034,6826,25.40319,98.11739
Injangyang,285,232,53,25.82991,97.72671
Tanai,8528,7050,1478,26.69478,96.2094
Chipwi,3306,2672,634,25.88635,98.12976
Tsawlaw,1073,895,178,26.15418607,98.27048681
Mohnyin,39622,27431,12191,24.99183,96.53019
Mogaung,24898,17611,7287,25.30274,96.94038
Hpakant,36632,31072,5560,25.6128,96.31212
Bhamo,24161,16995,7166,24.25493,97.23441
Shwegu,16621,11562,5059,24.47856339,96.65521559
Momauk,12370,8439,3931,24.61398,97.46127
Mansi,10554,7156,3398,24.11962,97.29311
Puta-O,10743,8469,2274,27.29934,97.4159
Sumprabum,479,383,96,26.54373,97.5677
Machanbaw,1719,1208,511,27.28395,97.58937
Khaunglanhpu,1711,1502,209,27.06042976,98.36034274
Nawngmun,1212,996,216,27.50532,97.81785
Loikaw,26495,20119,6376,19.54909,97.329287
Demoso,15347,11927,3420,19.53832,97.15881
Hpruso,5910,4525,1385,19.41386948,97.12799393
Shadaw,1406,1159,247,19.63174,97.52073
Bawlakhe,2081,1605,476,19.17255818,97.34284242
Hpasawng,4733,3851,882,18.87063,97.31592
Mese,1302,1108,194,18.67246177,97.66277329
Hpa-An,89197,64264,24933,16.88076,97.63691
Hlaingbwe,53120,37047,16073,17.12574,97.81871
Thandaunggyi,19140,16295,2845,18.91451,96.78565
Hpapun,6502,3982,2520,18.06305643,97.44321438
Myawaddy,44016,36127,7889,16.68867758,98.51303563
Kawkareik,45498,29874,15624,16.55553,98.23996
Kyainseikgyi,50568,41279,9289,15.30444,98.37808
Hakha,9917,7554,2363,22.64011,93.60483
Thantlang,9782,8060,1722,22.1898,93.4361
Falam,9626,6978,2648,22.91105,93.68034
Tedim,14683,10740,3943,23.2175,93.9551
Tonzang,4941,3948,993,23.88976,93.53347
Mindat,8522,6154,2368,21.37176,93.97365
Matupi,10157,7742,2415,21.9592,93.1143
Kanpetlet,3977,3130,847,21.19337,94.05666
Paletwa,19516,15985,3531,21.30441,92.85461
Sagaing,65143,49788,15355,21.88008,95.96231
Myinmu,25304,19620,5684,21.92680562,95.57156697
Myaung,24262,18072,6190,21.83163968,95.42424957
Shwebo,57297,42948,14349,22.59329,95.94495
Khin-U,32624,25709,6915,22.77016,95.62149
Wetlet,46712,36592,10120,22.36715,95.78812
Kanbalu,61326,49396,11930,23.20305,95.51886
Kyunhla,20863,16848,4015,23.31964,95.5321
Ye-U,26373,17173,9200,22.76914,95.43049
Tabayin,30345,22764,7581,22.5561,95.2366
Taze,35937,24386,11551,22.94407,95.37361
Monywa,75962,56106,19856,22.12168,95.13963
Budalin,28616,19849,8767,22.38918,95.14857
Ayadaw,35591,27787,7804,22.28525,95.45068
Chaung-U,23376,17851,5525,21.95693,95.27363
Katha,31961,22812,9149,24.18163,96.33167
